iter	Passed	Remaining
415	3378	4742
416	3387	4735
417	3395	4728
418	3405	4721
419	3413	4713
420	3421	4705
421	3430	4698
422	3438	4690
423	3447	4682
424	3456	4676
425	3464	4667
426	3474	4662
427	3483	4655
428	3490	4645
429	3500	4639
430	3511	4636
431	3520	4628
432	3529	4621
433	3537	4613
434	3545	4604
435	3554	4597
436	3562	4590
437	3571	4582
438	3580	4575
439	3589	4568
440	3596	4558
441	3604	4550
442	3614	4545
443	3621	4535
444	3631	4528
445	3639	4520
446	3648	4514
447	3655	4504
448	3664	4497
449	3674	4490
450	3683	4484
451	3693	4477
452	3702	4470
453	3711	4463
454	3719	4455
455	3729	4449
456	3739	4443
457	3748	4435
458	3758	4430
459	3767	4422
460	3777	4416
461	3785	4408
462	3794	4400
463	3803	4393
464	3812	4386
465	3821	4378
466	3829	4370
467	3837	4362
468	3846	4354
469	3855	4347
470	3864	4340
471	3873	4332
472	3880	4323
473	3888	4315
474	3898	4309
475	3907	4301
476	3915	4293
477	3924	4285
478	3934	4279
479	3942	4271
480	3952	4265
481	3961	4257
482	3970	4250
483	3979	4242
484	3988	4235
485	3996	4227
486	4005	4219
487	4015	4212
488	4023	4204
489	4032	4196
490	4039	4188
491	4047	4179
492	4056	4172
493	4065	4163
494	4072	4155
495	4081	4147
496	4091	4140
497	4103	4135
498	4111	4127
499	4119	4119
500	4129	4112
501	4138	4105
502	4148	4098
503	4157	4091
504	4164	4082
505	4174	4075
506	4181	4066
507	4190	4058
508	4197	4049
509	4206	4041
510	4215	4033
511	4222	4024
512	4232	4017
513	4240	4009
514	4248	4001
515	4257	3993
516	4265	3984
517	4275	3978
518	4284	3970
519	4294	3963
520	4305	3958
521	4314	3950
522	4322	3942
523	4331	3934
524	4338	3925
525	4347	3917
526	4356	3910
527	4363	3900
528	4371	3892
529	4379	3884
530	4387	3875
531	4397	3868
532	4405	3860
533	4414	3852
534	4423	3844
535	4430	3835
536	4438	3826
537	4445	3817
538	4454	3809
539	4462	3801
540	4470	3793
541	4477	3783
542	4485	3775
543	4493	3766
544	4501	3758
545	4509	3749
546	4518	3741
547	4525	3732
548	4534	3724
549	4542	3716
550	4551	3708
551	4558	3699
552	4568	3692
553	4577	3684
554	4587	3678
555	4595	3670
556	4605	3663
557	4612	3653
558	4621	3646
559	4631	3638
560	4640	3631
561	4650	3624
562	4659	3616
563	4668	3608
564	4679	3602
565	4688	3595
566	4698	3587
567	4705	3578
568	4714	3571
569	4724	3564
570	4732	3555
571	4742	3548
572	4750	3539
573	4760	3533
574	4770	3525
575	4781	3519
576	4789	3511
577	4797	3502
578	4806	3494
579	4814	3486
580	4823	3478
581	4831	3470
