iter	Logloss
0	0.6579007071
1	0.6321458023
2	0.6047460082
3	0.5831403685
4	0.5639515362
5	0.546590421
6	0.5307238039
7	0.5179844251
8	0.5074026666
9	0.4973790066
10	0.4882687167
11	0.4801652833
12	0.4721955276
13	0.465231904
14	0.4591317903
15	0.4549136024
16	0.4518010448
17	0.4468725039
18	0.4426793131
19	0.438689812
20	0.4353250911
21	0.4336014252
22	0.4307229973
23	0.4284286417
24	0.4261166616
25	0.423994727
26	0.4213819035
27	0.4191600818
28	0.4175946673
29	0.4168458989
30	0.4152745081
31	0.4136033335
32	0.4125055424
33	0.4107243725
34	0.4096058574
35	0.408589575
36	0.4073566495
37	0.4063528218
38	0.4056323004
39	0.4042979059
40	0.4031532669
41	0.402466914
42	0.4022144617
43	0.4019529002
44	0.4014153345
45	0.4003066313
46	0.4001695615
47	0.398904307
48	0.3982110604
49	0.3979876689
50	0.3970634502
51	0.3967316872
52	0.3959604428
53	0.3953019586
54	0.3948236941
55	0.3944407572
56	0.3942119203
57	0.39374441
58	0.3932507267
59	0.3931501444
60	0.3925364585
61	0.3922383577
62	0.3921797706
63	0.3919071604
64	0.3915718282
65	0.3915223003
66	0.3912293866
67	0.3910587638
68	0.3907166631
69	0.3904083352
70	0.3899767595
71	0.3895127879
72	0.3895075132
73	0.3892411682
74	0.3888685117
75	0.3886316523
76	0.3883544877
77	0.3880021112
78	0.3875091394
79	0.3871034114
80	0.3870638971
81	0.3870633903
82	0.3869342287
83	0.3867349031
84	0.3865034347
85	0.385932153
86	0.3857327628
87	0.3857279141
88	0.3851027226
89	0.3845464216
90	0.3845017459
91	0.384228251
92	0.3842282039
93	0.3839301582
94	0.3838539785
95	0.3838135387
96	0.3837204998
97	0.3834072698
98	0.3832183576
99	0.3831210803
100	0.3829609944
101	0.3828577104
102	0.3823421371
103	0.3820493432
104	0.3820317512
105	0.38170839
106	0.3811536878
107	0.3808818195
108	0.3805772372
109	0.3802921158
110	0.3800825654
111	0.3798204632
112	0.3792694583
113	0.3792624473
114	0.3788583354
115	0.3788054184
116	0.3787743612
117	0.3787602727
118	0.378457819
119	0.3781115013
120	0.3780465381
121	0.378011397
122	0.3780052472
123	0.3778521542
124	0.3775643165
125	0.3772619555
126	0.3769791065
127	0.3765413899
128	0.3764188948
129	0.3763315851
130	0.3761826298
131	0.375967249
132	0.3755359051
133	0.3752826673
134	0.3751517747
135	0.3746713905
136	0.3743402788
137	0.3742532988
138	0.3740214479
139	0.3739077676
140	0.3739067952
141	0.3737192562
142	0.3732361757
143	0.3731600493
144	0.3728028228
145	0.3726646249
146	0.372352643
147	0.3723000931
148	0.3717392053
149	0.3716333167
150	0.3716157306
151	0.3713174181
152	0.371296106
153	0.3710522518
154	0.3708351724
155	0.3706417554
156	0.370332889
157	0.36995217
158	0.3697685156
159	0.3696111922
160	0.3693265341
161	0.3693223192
162	0.3691855153
163	0.3687833685
164	0.3683129798
165	0.3680333797
166	0.3677326064
167	0.3673766382
168	0.36702229
169	0.3670114321
170	0.3668918944
171	0.3666739247
172	0.366355352
173	0.366128718
174	0.3656901587
175	0.3653460194
176	0.3651185625
177	0.3649400722
178	0.364685059
179	0.364387211
180	0.3642438067
181	0.3639095364
182	0.3638688403
183	0.3634545687
184	0.3627626753
185	0.3627002539
186	0.3622061125
187	0.3619605501
188	0.3617315323
189	0.3614623434
190	0.3609619184
191	0.3605950975
192	0.3601687235
193	0.3599510236
194	0.3597917871
195	0.3596287293
196	0.3592509022
197	0.3590638156
198	0.3587021627
199	0.3584569131
200	0.3583594021
201	0.3580511953
202	0.3578965329
203	0.357489762
204	0.3572143083
205	0.3568435482
206	0.3565458896
207	0.3562379901
208	0.3559657035
209	0.3557262777
210	0.3552411069
211	0.354828345
212	0.3544274765
213	0.3541122479
214	0.353786164
215	0.3535056408
216	0.3532868536
217	0.3530092194
218	0.3528190587
219	0.3524624472
220	0.3522428931
221	0.3517892857
222	0.3514168007
223	0.351414007
224	0.3512418452
225	0.3512416818
226	0.3509717613
227	0.3506240691
228	0.3501056039
229	0.349764337
230	0.3494113838
231	0.3488936452
232	0.3488219836
233	0.3487045172
234	0.3483105475
235	0.3479243358
236	0.3478208508
237	0.3473202257
238	0.3470138041
239	0.3465719668
240	0.3464727295
241	0.3461170621
242	0.3459127003
243	0.3455764825
244	0.3452786265
245	0.3450163769
246	0.3448323936
247	0.344673619
248	0.3442417252
249	0.3438644622
250	0.3438218736
251	0.3436362081
252	0.3434212866
253	0.3432264775
254	0.3429763437
255	0.3426802742
256	0.3425657929
257	0.3422787145
258	0.3422180599
259	0.3420002238
260	0.3418104483
261	0.341517791
262	0.3414476534
263	0.3409098915
264	0.3407849978
265	0.3405541675
266	0.3404448242
267	0.3403572497
268	0.3402921516
269	0.3401572482
270	0.3399363167
271	0.3398730732
272	0.339324472
273	0.3391036477
274	0.3388751792
275	0.3386634437
276	0.3383546029
277	0.3381865687
278	0.3380313064
279	0.3379059187
280	0.3377918831
281	0.3375494187
282	0.3373363244
283	0.3370333807
284	0.3366736081
285	0.3361809748
286	0.3359920843
287	0.3357449428
288	0.3354099592
289	0.3352435875
290	0.3350445266
291	0.3348665162
292	0.3348265811
293	0.3345596028
294	0.3342245599
295	0.3339455004
296	0.333816219
297	0.3335441476
298	0.3334297543
299	0.3330643336
300	0.3326205147
301	0.3324803625
302	0.3323885394
303	0.332208388
304	0.3321373282
305	0.3318119356
306	0.3317481559
307	0.3315256519
308	0.3314376791
309	0.3313338339
310	0.3311944653
311	0.3307349682
312	0.3304672097
313	0.3302206521
314	0.3301212086
315	0.329920428
316	0.3296945221
317	0.3294876264
318	0.3291967739
319	0.3289905505
320	0.3288831814
321	0.3283832794
322	0.3281736707
323	0.3279198207
324	0.327708682
325	0.3276107273
326	0.3274377594
327	0.3271656599
328	0.3270551942
329	0.3268303075
330	0.3265544117
331	0.3263199565
332	0.3262457194
333	0.3260307471
334	0.3258733734
335	0.3256213301
336	0.3253519613
337	0.3250854602
338	0.3248294414
339	0.3247382257
340	0.3246611006
341	0.3242727512
342	0.3240958315
343	0.3239480682
344	0.3238593551
345	0.3237243978
346	0.3235342397
347	0.3234552177
348	0.3231939408
349	0.3230145
350	0.322896581
351	0.3226881394
352	0.3223809768
353	0.3222878505
354	0.3222525356
355	0.3220766813
356	0.3218989612
357	0.3217703286
358	0.3216460246
359	0.3213950435
360	0.3210743228
361	0.3208278069
362	0.3206131144
363	0.3204527373
364	0.3200741198
365	0.3197556512
366	0.3191250218
367	0.3189344601
368	0.3186474344
369	0.3184597544
370	0.3181200218
371	0.3178908574
372	0.3174669544
373	0.3172447114
374	0.3170589164
375	0.3166805189
376	0.3164945654
377	0.3160940451
378	0.3159497258
379	0.3155580321
380	0.3152484317
381	0.3149777806
382	0.3146988662
383	0.314309145
384	0.3141442504
385	0.3137923093
386	0.3135122822
387	0.3132729144
388	0.3131734575
389	0.313066241
390	0.3129498733
391	0.3127331244
392	0.3125584351
393	0.3124376683
394	0.3123959091
395	0.312305889
396	0.3121569225
397	0.3119121182
398	0.3117660048
399	0.3117059342
400	0.3114741757
401	0.3113812794
402	0.3111972606
403	0.3110321374
404	0.3108663308
405	0.3106543516
406	0.3105907964
407	0.3104574896
408	0.3101964572
409	0.3100077391
410	0.3098975341
411	0.3097898439
412	0.3095041479
413	0.3093296734
414	0.3092833571
415	0.3090194629
416	0.308859612
417	0.3086398306
418	0.308533735
419	0.3084245564
420	0.3081924318
421	0.3080521714
422	0.3079705758
423	0.3076014803
424	0.3073748585
425	0.3070869133
426	0.3069168736
427	0.3067646234
428	0.3064638013
429	0.306426272
430	0.3062820416
431	0.3060243084
432	0.3057663243
433	0.3055905156
434	0.3054609571
435	0.3053677345
436	0.3052448346
437	0.3050922045
438	0.3049465284
439	0.3048580138
440	0.3046765263
441	0.3045137982
442	0.3042839019
443	0.3040248571
444	0.3039576565
445	0.3038428867
446	0.3036230877
447	0.3034106863
448	0.3032099489
449	0.3029429607
450	0.3027846265
451	0.3027426455
452	0.3024666206
453	0.3021303656
454	0.3019426774
455	0.3016643304
456	0.30154331
457	0.3011246596
458	0.3005487429
459	0.3003345596
460	0.299919797
461	0.2998051997
462	0.2996206742
463	0.2995332891
464	0.2994191773
465	0.299161179
466	0.2990630841
467	0.2989166404
468	0.2987615992
469	0.29841994
470	0.2981454462
471	0.2980237647
472	0.2977113461
473	0.2976019045
474	0.297486845
475	0.2971601107
476	0.2970298823
477	0.2969499513
478	0.2967434082
479	0.2966039482
480	0.2963675174
481	0.2961305473
482	0.2959971978
483	0.2959109169
484	0.2958765692
485	0.2956056802
486	0.2954111062
487	0.2952772166
488	0.2951556151
489	0.2949804414
490	0.2949118699
491	0.2947142074
492	0.2945600638
493	0.2944618175
494	0.294245948
495	0.2941189704
496	0.2940045103
497	0.2938833091
498	0.2936861749
499	0.2933618047
500	0.2932049214
501	0.2927592586
502	0.2924194348
503	0.2923431557
504	0.2921557569
505	0.2921011273
506	0.2918433278
507	0.2917580199
508	0.2914790973
509	0.2914100018
510	0.2912187285
511	0.2911396912
512	0.2909748066
513	0.2907812584
514	0.2904921855
515	0.2903719336
516	0.2901968568
517	0.2899319538
518	0.2895836749
519	0.2894018851
520	0.2893118814
521	0.2892174078
522	0.289131068
523	0.2890020383
524	0.2888235024
525	0.2888013977
526	0.2885458418
527	0.2885254232
528	0.2884750653
529	0.2879198511
530	0.287793878
531	0.2876746389
532	0.2875911833
533	0.2873185217
534	0.2872167251
535	0.2871131632
536	0.2870504819
537	0.2867658595
538	0.2865162474
539	0.2863667558
540	0.2861504643
541	0.2859179142
542	0.2858233994
543	0.2856948213
544	0.285583152
545	0.2853898388
546	0.285345538
547	0.2849364826
548	0.2846776395
549	0.2845245713
550	0.2844793724
551	0.2841707143
552	0.2839541754
553	0.2838499083
554	0.2837973071
555	0.2837009762
556	0.2836141649
557	0.2833940096
558	0.2833818972
559	0.28309359
560	0.2828929246
561	0.2827609039
562	0.2825415868
563	0.2824486002
564	0.2821574322
565	0.2820782618
566	0.2820359987
567	0.2819825742
568	0.2819138406
569	0.2818749694
570	0.2818343388
571	0.2816029498
572	0.2815193571
573	0.2812193047
574	0.2810487651
575	0.2809808089
576	0.2807502174
577	0.2804232705
578	0.2803748446
579	0.2802862085
580	0.2802501523
581	0.2801760906
582	0.2800940837
583	0.2799035929
584	0.2797578374
585	0.2793405271
586	0.2790934182
587	0.278843062
588	0.2787156169
589	0.2785050234
590	0.2784337253
591	0.2783170368
592	0.2782895952
593	0.2780559088
594	0.27766968
595	0.2775261602
596	0.277302143
597	0.2769662153
598	0.2768893045
599	0.2767346837
600	0.276700504
601	0.2766934978
602	0.2766558693
603	0.276478134
604	0.2764432736
605	0.2762686699
606	0.2762047974
607	0.2760419695
608	0.2760403969
609	0.2756906159
610	0.2754118366
611	0.2752414822
612	0.2750332279
613	0.2748885475
614	0.2747114884
615	0.2746577896
616	0.2745236054
617	0.2744078292
618	0.274309347
619	0.2741938606
620	0.2740608917
621	0.2738587025
622	0.2738364145
623	0.2735611058
624	0.2733688811
625	0.2731486589
626	0.2730302607
627	0.2727877087
628	0.2727146284
629	0.2725496781
630	0.2725034819
631	0.272438397
632	0.2722535879
633	0.2721906856
634	0.2721305342
635	0.2718363991
636	0.271649872
637	0.2715287015
638	0.2714523974
639	0.2713562026
640	0.2713153499
641	0.2712284058
642	0.2708752593
643	0.2708199345
644	0.2707790186
645	0.2705431335
646	0.2703543361
647	0.2701874325
648	0.2700804541
649	0.2700107015
650	0.2698032533
651	0.2697190356
652	0.2696110698
653	0.2694954108
654	0.2693226844
655	0.2692073818
656	0.269128202
657	0.2690226554
658	0.2688108344
659	0.2687602871
660	0.2686504668
661	0.2683662481
662	0.26816114
663	0.2681143023
664	0.2678948523
665	0.2677228801
666	0.2674917516
667	0.2674141773
668	0.2673539605
669	0.2671639434
670	0.2670966654
671	0.2670019562
672	0.2667738566
673	0.2665568376
674	0.2662630029
675	0.2661618508
676	0.2660249269
677	0.2658185023
678	0.2657135535
679	0.2654917398
680	0.2654571366
681	0.2653601548
682	0.2653304229
683	0.265304477
684	0.2650135527
685	0.2648313016
686	0.2647551092
687	0.2646749354
688	0.2643478976
689	0.2640475001
690	0.2639889711
691	0.2639572556
692	0.2637770341
693	0.2636372723
694	0.2634855236
695	0.2633617926
696	0.2633042923
697	0.263208559
698	0.2631033189
699	0.2628423689
700	0.2626200208
701	0.2625387414
702	0.2623881184
703	0.2622501944
704	0.2621947689
705	0.262066603
706	0.2618669674
707	0.2617377035
708	0.2615845039
709	0.2614677009
710	0.2613598836
711	0.2613332701
712	0.2612394157
713	0.2611662755
714	0.2610028204
715	0.2608783824
716	0.2608374227
717	0.2607409505
718	0.2605967094
719	0.2605469806
720	0.2603591878
721	0.2602883601
722	0.2602404296
723	0.2601748623
724	0.2601146547
725	0.2599936035
726	0.2598316038
727	0.2596541416
728	0.259549581
729	0.2594872364
730	0.2592789652
731	0.2591114404
732	0.2590544804
733	0.2589082479
734	0.2587973953
735	0.2587538887
736	0.2586596267
737	0.2585509179
738	0.2584509944
739	0.2583440115
740	0.2582116204
741	0.2579344663
742	0.2577147279
743	0.2574769583
744	0.2572746199
745	0.2572154349
746	0.2571996891
747	0.2570922719
748	0.2569407336
749	0.2568475557
750	0.2566873123
751	0.2566487627
752	0.2564210008
753	0.2562698743
754	0.2561107147
755	0.2560528484
756	0.2559706934
757	0.2557453761
758	0.2555295935
759	0.2553931755
760	0.2550973958
761	0.2548355425
762	0.2546951859
763	0.254523402
764	0.2545028923
765	0.2543756399
766	0.2542301606
767	0.2539581347
768	0.2537539728
769	0.2536258326
770	0.2534800317
771	0.2534201484
772	0.2533668193
773	0.2533149341
774	0.2532241813
775	0.2531990371
776	0.2531841513
777	0.2530486053
778	0.2529057914
779	0.2528084192
780	0.252659175
781	0.2524647701
782	0.2523852961
783	0.2523012043
784	0.2521202506
785	0.2520549646
786	0.2517781529
787	0.2514198708
788	0.2512199695
789	0.2510877293
790	0.2509713663
791	0.2508039699
792	0.2505914801
793	0.2504795739
794	0.2503715654
795	0.2499521163
796	0.2498566758
797	0.2497227886
798	0.2495459778
799	0.2493664337
800	0.2493034827
801	0.2489520072
802	0.2489191197
803	0.2488164821
804	0.2487140205
805	0.2486736586
806	0.2486559162
807	0.2485941598
808	0.2484763809
809	0.2483748998
810	0.2482896968
811	0.2481632794
812	0.2480354545
813	0.2478341541
814	0.2475616926
815	0.2472756565
816	0.247185154
817	0.2469529365
818	0.2468559359
819	0.246759189
820	0.2466102035
821	0.2465722735
822	0.2465038585
823	0.246354591
824	0.2462115576
825	0.2461121352
826	0.2460511309
827	0.2459705932
828	0.2459350408
829	0.2458626357
830	0.2456825996
831	0.2455146769
832	0.2452816472
833	0.2452566708
834	0.2451868741
835	0.2450553959
836	0.2449861524
837	0.2447878873
838	0.2447165694
839	0.244636897
840	0.2445999106
841	0.2445603393
842	0.2444221056
843	0.2443611307
844	0.2441813318
845	0.2440247909
846	0.2438522616
847	0.2437420384
848	0.2435835902
849	0.2434719903
850	0.2433286536
851	0.2431107055
852	0.2429409255
853	0.2428507095
854	0.2427652254
855	0.2423811168
856	0.2422197561
857	0.2421275717
858	0.2419603381
859	0.2417209355
860	0.2416360059
861	0.2412943749
862	0.24115933
863	0.2410724841
864	0.24098796
865	0.2408836107
866	0.2408372002
867	0.2407056193
868	0.2406330386
869	0.2405967089
870	0.2404093848
871	0.2401842347
872	0.2400851103
873	0.2399791951
874	0.239921514
875	0.2398091756
876	0.2397629258
877	0.239628485
878	0.2394371846
879	0.2393835442
880	0.2393536139
881	0.2392897119
882	0.2389875361
883	0.2389654055
884	0.238849518
885	0.2388108325
886	0.2386359671
887	0.2385555629
888	0.2385065307
889	0.2383032859
890	0.238223159
891	0.238052542
892	0.2378849147
893	0.2377148329
894	0.2376262935
895	0.2375460097
896	0.2373674824
897	0.2372799545
898	0.2371880249
899	0.2370136671
900	0.2369278055
901	0.2368739651
902	0.2367835738
903	0.2366823903
904	0.2366309817
905	0.2365034286
906	0.2364217305
907	0.2363531669
908	0.2363124845
909	0.2362519497
910	0.2361913877
911	0.2360060389
912	0.2358745179
913	0.235740381
914	0.2356498935
915	0.2355205794
916	0.2354905569
917	0.2353229756
918	0.2352422521
919	0.2351618849
920	0.2350452641
921	0.2349083569
922	0.2348635122
923	0.2347878434
924	0.2347330429
925	0.2345641342
926	0.2344885352
927	0.2344410499
928	0.2342887127
929	0.2342371579
930	0.2340785599
931	0.2340218329
932	0.2340011934
933	0.2339574575
934	0.233896063
935	0.2338476731
936	0.233804348
937	0.2336828207
938	0.23360622
939	0.2335582523
940	0.233520275
941	0.2334984494
942	0.2333988912
943	0.2333656679
944	0.2332551336
945	0.2332112321
946	0.2330489036
947	0.232970869
948	0.2328972822
949	0.2327820847
950	0.2327466832
951	0.2326829225
952	0.2326430083
953	0.2325125856
954	0.2324070301
955	0.2323874288
956	0.2322020894
957	0.2321716168
958	0.2321086574
959	0.2320416501
960	0.2319609907
961	0.2317602726
962	0.2316102483
963	0.2315274314
964	0.2313251556
965	0.2312506964
966	0.2310826301
967	0.2309625126
968	0.2308567503
969	0.2307138246
970	0.2306674828
971	0.2305728633
972	0.2304506528
973	0.2302923466
974	0.2302075202
975	0.2300569291
976	0.2299527474
977	0.2299269955
978	0.2298206202
979	0.2295110585
980	0.2293930734
981	0.2292453692
982	0.2290971404
983	0.2290708696
984	0.2289515421
985	0.2288878038
986	0.2287834166
987	0.2286807489
